episode,avg_throughput,avg_fairness,avg_se,avg_pe,avg_su,avg_reward,min_reward,max_reward
0,29.74792435963949,0.4085267071922621,4.277504626909892,5.201788079981876e-07,2.9219877163569143,2.9067788,2.2285066,3.5056746
1,32.318217849731454,0.34616001844406125,4.541889921824136,5.421045926823354e-07,3.0733304262161263,2.938255,2.3907557,3.5136607
2,28.84404754638672,0.3402043963472049,4.170771876970927,5.060255498771464e-07,2.883313612143199,2.8240259,2.1446419,3.3941092
3,29.727715349197393,0.3049065480629602,4.1971739808718365,5.605842308871919e-07,2.624566407998403,2.6888194,1.9705181,3.2222106
4,30.919741757710778,0.3539231613278389,4.3646477222442615,5.558133542156914e-07,2.8821764032046002,2.8338423,2.110618,3.4066534
5,27.37444950739543,0.3436554114023844,4.006451404094696,5.260836161369298e-07,2.5801527659098307,2.695685,2.0784369,3.099668
6,31.47439206441244,0.33613076309363044,4.447872646649677,5.761472995876224e-07,3.020813369750977,2.83673,2.1902375,3.37934
7,33.25471172332763,0.3748276134332022,4.638643471399943,6.373507782579205e-07,3.0841880957285572,2.8830507,2.2909513,3.349067
8,31.814433097839355,0.41086103816827135,4.490307207902274,6.788018727850912e-07,2.970725019772849,2.8336036,2.2718682,3.2613652
9,34.512446403503425,0.3644406477610269,4.7634598970413204,6.847399523242831e-07,2.905888970692952,2.8359525,2.3369606,3.2415946
10,33.75224933624267,0.3245932991305988,4.635160179932911,7.467407205770847e-07,2.859110244115193,2.726694,2.1326442,3.0447164
11,34.211004638671874,0.3508654996752739,4.736976369222004,6.654316962340088e-07,3.074999459584555,2.8798428,2.2425704,3.3516726
12,32.25077042579651,0.36035167376200344,4.522110005219778,6.048064761898785e-07,2.9739638924598704,2.8576713,2.117484,3.3615444
13,34.44745229085286,0.42110465665658314,4.761353464921317,5.420024820068646e-07,3.0773720661799127,3.0850024,2.4117458,3.489163
14,34.63805777231852,0.3743855024377506,4.780315617720286,5.637563276650325e-07,3.080980030695598,3.0123239,2.224078,3.4817667
15,31.78079916636149,0.4132891197999318,4.4859314600626625,5.698494788930476e-07,2.993623757362366,2.9316201,2.2045217,3.45872
16,29.299015013376874,0.2887083431084952,4.159375858306884,4.960277162050868e-07,2.6543797095616664,2.7618597,1.6519836,3.3316846
17,28.33959442774455,0.33396691332260764,4.0214801073074335,5.503316742760944e-07,2.4475214997927353,2.6579907,1.8517257,3.0915794
18,27.94697539011638,0.30286521017551427,3.9542666355768845,5.615054561758371e-07,2.5212902943293254,2.6000955,1.9541941,3.4024384
