episode,avg_throughput,avg_fairness,avg_se,avg_pe,avg_su
0,32.58795757293699,0.2917293968796731,4.554058010578157,7.226069590160477e-07,2.962700650691986
1,30.97336511611937,0.2876711483299732,4.387761502265932,7.097247726051138e-07,3.010501818656921
2,37.0022639465332,0.21817619323730472,5.008338232040406,6.648855230650952e-07,3.1457144975662232
3,33.98709220886229,0.24841030150651927,4.697964336872101,6.267568005569049e-07,3.0743075704574596
4,33.77406463623045,0.2922254203259945,4.676353945732117,6.954925970603655e-07,3.0491372156143184
5,34.133133049011214,0.28105160057544704,4.713254575729373,6.680848861151392e-07,3.085337934494018
6,36.643743400573726,0.26272017866373065,4.971532292366028,6.595624472538477e-07,3.140099520683288
7,35.24263557434081,0.21514504492282865,4.82709067583084,7.282964060095765e-07,3.068214786052703
8,33.414446754455554,0.239719132333994,4.639097638130189,6.968486468394986e-07,3.043382134437561
9,37.432331600189194,0.16455378741025922,5.052679057121276,6.992281595330496e-07,3.1354656672477716
10,33.41323820114134,0.2747216829657555,4.639133198261263,6.339686183309824e-07,3.012733051776886
11,34.849735698699945,0.22941911309957505,4.7868784928321855,5.770272787231079e-07,3.09646829366684
12,34.88389721870421,0.21387820914387703,4.790317583084107,5.106772601948251e-07,3.062482190132141
13,36.53590698242186,0.2488352619111538,4.960413162708284,5.875857681303387e-07,3.1167492055892936
14,35.92539264678955,0.22181669846177096,4.897408971786499,6.267726513442539e-07,3.113428916931152
15,34.49152343749998,0.21986267670989038,4.7500683093071,6.839715445039474e-07,3.0909477996826173
16,33.415181617736806,0.3201830644905567,4.639332001209257,5.895245271858585e-07,3.0739842414855953
17,38.329435596466055,0.1843447718024253,5.144920072555541,5.08646538719404e-07,3.16021040201187
18,36.210986156463626,0.20759301185607903,4.9265618109703055,4.92414478117098e-07,3.098126966953277
19,35.170813999176026,0.21002751231193548,4.8196078872680665,6.158652303156487e-07,3.0626485824584955
20,37.36026711463928,0.21164061248302463,5.045234031677245,5.489436972538894e-07,3.1360775876045226
21,37.71985136032104,0.2518438491225242,5.082287175655365,6.136690342373187e-07,3.1112623429298383
22,35.134091148376456,0.23166044056415555,4.815694642066957,6.171912423269536e-07,3.0751979875564577
23,36.859174385070794,0.212259421646595,4.99366504430771,8.018622156669154e-07,3.119726176261902
24,36.57110271453856,0.2211050029098988,4.964098351001742,6.365146458620076e-07,3.134610314369202
25,34.885613327026356,0.25658526107668883,4.790706603527068,7.658551362510482e-07,3.064047076702118
26,36.21385471343992,0.2553048293292523,4.92735860824585,7.40839654440606e-07,3.129126672744751
27,38.795287704467775,0.2025699594616891,5.192746896743774,6.258543356807424e-07,3.17393518924713
28,39.799719352722164,0.16771118566393853,5.296056928634643,7.08317995190555e-07,3.200746040344238
29,33.59286567687987,0.24682107210159304,4.657376828193666,6.899158813666874e-07,3.081239733695983
30,38.40200233459472,0.21122727930545812,5.15248499393463,5.771887788341702e-07,3.1352030897140497
31,38.437673559188845,0.2212292341887951,5.156091141700744,5.790152255258363e-07,3.1683784055709827
32,34.12910255432127,0.250493683218956,4.7122851085662845,5.878942653225748e-07,3.1000854015350336
33,36.78730594635009,0.25265363439917565,4.986341838836672,5.212289028122541e-07,3.1448654079437253
34,39.15276709556579,0.2004153661429882,5.2294333553314205,6.547281606117394e-07,3.164139676094053
35,36.53465299606322,0.2215934193134308,4.960167138576507,6.962551032074771e-07,3.1012243771553027
36,39.872837753295904,0.18152216896414755,5.303791408538818,7.448058852332905e-07,3.206262855529783
