episode,avg_throughput,avg_fairness,avg_se,avg_pe,avg_su,avg_reward,min_reward,max_reward
0,23.37070476214091,0.33513851066430406,3.2836518208185828,5.430825353869296e-07,1.9749849895636242,2.387595,1.6436108,2.796404
1,36.87611527442931,0.36761219749848045,5.000206414858501,5.031838801035822e-07,3.133187019824983,3.176959,2.2439933,3.5225673
2,40.29096342722574,0.4167025407155356,5.362426392237345,5.04598836907159e-07,3.212235124905905,3.3592832,2.4244301,3.5638275
3,39.84941342671712,0.4037791838248571,5.314797973632812,5.165585472847549e-07,3.0981036345163995,3.2948651,2.68189,3.5241265
4,24.503204727172854,0.26718128422896065,3.4323866367340092,5.26127847895926e-07,1.9992377479871117,2.3900099,1.5359677,3.0253031
5,30.01670735677084,0.34817150682210923,4.2473832686742155,5.367551106398122e-07,2.381299901008606,2.742425,2.309106,3.0770621
6,41.665561485290525,0.4208724439144134,5.503759447733561,5.064418369708316e-07,3.234451047579448,3.412839,2.6957135,3.5593767
